Player,Season,Position,Age,Team,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,EFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TO,PF,PTS
Terrance Ferguson,2019,SG,20,OKC,5,5,128,9,25,.360,7,18,.389,2,7,.286,.500,0,0,,2,10,12,6,2,0,5,19,25
Bryn Forbes,2019,SG,25,SAS,7,7,212,27,56,.482,15,31,.484,12,25,.480,.616,6,9,.667,1,24,25,7,1,1,3,14,75
Evan Fournier,2019,SG,26,ORL,5,5,175,24,69,.348,8,34,.235,16,35,.457,.406,6,8,.750,3,13,16,10,7,0,12,14,62
Melvin Frazier,2019,SG,22,ORL,3,0,15,2,5,.400,0,0,,2,5,.400,.400,1,2,.500,1,3,4,0,1,0,0,0,5
Tim Frazier,2019,PG,28,MIL,11,0,40,8,13,.615,3,6,.500,5,7,.714,.731,2,2,1.000,0,9,9,10,1,0,3,5,21
Enes Freedom,2019,C,26,POR,16,14,461,75,146,.514,1,4,.250,74,142,.521,.517,31,41,.756,53,102,155,19,11,9,26,36,182
Danilo Gallinari,2019,SF,30,LAC,6,6,201,39,111,.351,13,43,.302,26,68,.382,.410,28,33,.848,9,28,37,16,8,1,11,14,119
Langston Galloway,2019,SG,27,DET,4,0,110,11,34,.324,9,25,.360,2,9,.222,.456,0,0,,2,13,15,4,2,4,2,10,31
Marc Gasol,2019,C,34,TOR,24,24,735,76,180,.422,34,89,.382,42,91,.462,.517,40,46,.870,16,137,153,73,21,26,21,84,226
Rudy Gay,2019,PF,32,SAS,7,0,179,28,70,.400,8,19,.421,20,51,.392,.457,14,17,.824,13,37,50,12,3,5,10,13,78
Paul George,2019,SF,28,OKC,5,5,204,44,101,.436,15,47,.319,29,54,.537,.510,40,49,.816,6,37,43,18,7,1,20,21,143
Shai Gilgeous-Alexander,2019,PG,20,LAC,6,6,173,28,60,.467,9,18,.500,19,42,.452,.542,17,20,.850,4,12,16,19,6,5,5,17,82
Rudy Gobert,2019,C,26,UTA,5,5,152,19,32,.594,0,0,,19,32,.594,.594,18,23,.783,23,28,51,7,3,13,9,16,56
Aaron Gordon,2019,PF,23,ORL,5,5,164,29,62,.468,8,20,.400,21,42,.500,.532,10,19,.526,11,25,36,18,6,1,13,16,76
Eric Gordon,2019,SG,30,HOU,11,11,410,67,150,.447,38,95,.400,29,55,.527,.573,24,28,.857,5,22,27,14,7,11,27,22,196
Treveon Graham,2019,SG,25,BRK,5,0,79,2,10,.200,0,7,.000,2,3,.667,.200,3,6,.500,3,8,11,3,2,1,3,10,7
Jerami Grant,2019,PF,24,OKC,5,5,176,20,40,.500,9,20,.450,11,20,.550,.613,9,13,.692,6,22,28,4,3,10,4,13,58
Jerian Grant,2019,PG,26,ORL,3,0,14,2,10,.200,0,7,.000,2,3,.667,.200,1,1,1.000,0,4,4,3,0,0,1,1,5
Danny Green,2019,SG,31,TOR,24,24,684,53,155,.342,39,119,.328,14,36,.389,.468,21,23,.913,17,70,87,26,31,11,26,60,166
Draymond Green,2019,PF,28,GSW,22,22,851,114,229,.498,13,57,.228,101,172,.587,.526,51,71,.718,41,182,223,187,32,33,83,85,292
Gerald Green,2019,SG,33,HOU,11,0,97,12,40,.300,10,29,.345,2,11,.182,.425,5,5,1.000,0,12,12,1,3,3,3,12,39
JaMychal Green,2019,PF,28,LAC,6,3,141,23,43,.535,12,23,.522,11,20,.550,.674,8,10,.800,6,26,32,5,4,0,11,22,66
Blake Griffin,2019,PF,29,DET,2,2,58,18,39,.462,6,13,.462,12,26,.462,.538,7,7,1.000,4,8,12,12,2,0,6,9,49
James Harden,2019,PG,29,HOU,11,11,424,109,264,.413,48,137,.350,61,127,.480,.504,82,98,.837,9,67,76,73,24,10,51,41,348
Maurice Harkless,2019,SF,25,POR,16,16,388,52,109,.477,7,28,.250,45,81,.556,.509,23,36,.639,29,49,78,23,18,16,17,56,134
Montrezl Harrell,2019,C,25,LAC,6,0,158,46,63,.730,0,1,.000,46,62,.742,.730,18,26,.692,12,21,33,13,3,4,8,19,110
Gary Harris,2019,SG,24,DEN,14,14,517,73,158,.462,20,57,.351,53,101,.525,.525,33,38,.868,9,49,58,32,12,8,11,38,199
Joe Harris,2019,SG,27,BRK,5,5,149,16,43,.372,4,21,.190,12,22,.545,.419,8,8,1.000,6,15,21,3,3,0,9,12,44
Tobias Harris,2019,PF,26,PHI,12,12,443,71,167,.425,22,63,.349,49,104,.471,.491,22,26,.846,12,97,109,48,13,6,19,30,186
Isaiah Hartenstein,2019,PF,20,HOU,2,0,2,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,1,0,1,0,0,0,0,1,4
Gordon Hayward,2019,PF,28,BOS,9,0,267,29,70,.414,9,24,.375,20,46,.435,.479,19,19,1.000,3,33,36,22,6,3,15,16,86
Juancho Hernangómez,2019,PF,23,DEN,5,0,15,1,3,.333,1,2,.500,0,1,.000,.500,0,0,,0,3,3,0,0,0,1,2,3
Nenê,2019,C,36,HOU,7,0,53,10,10,1.000,0,0,,10,10,1.000,1.000,7,9,.778,9,5,14,3,3,2,3,7,27
George Hill,2019,PG,32,MIL,15,0,395,63,118,.534,20,48,.417,43,70,.614,.619,27,33,.818,15,38,53,42,13,4,6,34,173
Aaron Holiday,2019,PG,22,IND,3,0,13,2,5,.400,1,2,.500,1,3,.333,.500,0,0,,0,0,0,0,0,0,1,3,5
Rondae Hollis-Jefferson,2019,SF,24,BRK,4,0,62,16,33,.485,1,1,1.000,15,32,.469,.500,20,25,.800,3,9,12,6,1,5,3,7,53
Rodney Hood,2019,SG,26,POR,16,0,373,52,111,.468,18,51,.353,34,60,.567,.550,36,44,.818,9,27,36,14,6,3,7,28,158
Al Horford,2019,C,32,BOS,9,9,310,46,110,.418,18,44,.409,28,66,.424,.500,15,18,.833,13,68,81,40,4,7,19,21,125
Danuel House Jr.,2019,SF,25,HOU,7,0,141,11,37,.297,8,31,.258,3,6,.500,.405,4,8,.500,2,20,22,1,3,2,4,11,34
Serge Ibaka,2019,C,29,TOR,24,0,500,92,193,.477,9,38,.237,83,155,.535,.500,32,42,.762,35,108,143,22,11,23,25,79,225
Andre Iguodala,2019,SF,35,GSW,21,15,629,82,166,.494,28,80,.350,54,86,.628,.578,14,37,.378,27,64,91,83,24,23,21,43,206
Ersan İlyasova,2019,PF,31,MIL,15,0,272,35,81,.432,12,40,.300,23,41,.561,.506,20,25,.800,19,51,70,21,10,6,6,40,102
Joe Ingles,2019,PF,31,UTA,5,5,151,12,37,.324,8,29,.276,4,8,.500,.432,0,0,,3,21,24,25,11,0,8,14,32
Kyrie Irving,2019,PG,26,BOS,9,9,330,69,179,.385,18,58,.310,51,121,.421,.436,36,40,.900,5,35,40,63,12,4,28,26,192
Jonathan Isaac,2019,PF,21,ORL,5,5,137,11,40,.275,4,20,.200,7,20,.350,.325,7,8,.875,10,21,31,2,2,5,5,9,33
Wes Iwundu,2019,SF,24,ORL,5,0,60,6,18,.333,3,9,.333,3,9,.333,.417,9,9,1.000,0,7,7,4,3,0,2,4,24
Reggie Jackson,2019,PG,28,DET,4,4,108,28,65,.431,9,21,.429,19,44,.432,.500,6,7,.857,5,8,13,28,3,0,5,12,71
Jonas Jerebko,2019,PF,31,GSW,16,0,121,12,42,.286,5,19,.263,7,23,.304,.345,5,6,.833,15,19,34,12,1,2,2,9,34
Amir Johnson,2019,C,31,PHI,4,0,20,4,4,1.000,0,0,,4,4,1.000,1.000,0,0,,3,2,5,2,1,0,1,3,8
Nikola Jokić,2019,C,23,DEN,14,14,557,132,261,.506,22,56,.393,110,205,.537,.548,66,78,.846,54,128,182,118,16,13,36,54,352
Damian Jones,2019,C,23,GSW,4,1,8,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,0,2,2,0,0,0,1,3,3
Cory Joseph,2019,PG,27,IND,4,0,85,12,24,.500,4,9,.444,8,15,.533,.583,2,2,1.000,1,6,7,4,4,0,0,7,30
Luke Kennard,2019,SG,22,DET,4,2,133,23,47,.489,9,15,.600,14,32,.438,.585,5,6,.833,0,16,16,7,3,1,3,6,60
Furkan Korkmaz,2019,SG,21,PHI,4,0,36,6,18,.333,3,8,.375,3,10,.300,.417,4,5,.800,0,6,6,5,0,1,1,5,19
Kyle Korver,2019,SG,37,UTA,4,0,30,3,8,.375,2,6,.333,1,2,.500,.500,2,3,.667,1,4,5,0,0,0,1,6,10
Rodions Kurucs,2019,SF,20,BRK,4,3,68,8,20,.400,2,8,.250,6,12,.500,.450,7,9,.778,6,14,20,3,2,0,2,10,25
Skal Labissière,2019,PF,22,POR,3,0,11,1,4,.250,0,2,.000,1,2,.500,.250,0,1,.000,0,0,0,0,0,0,0,1,2
Jake Layman,2019,SF,24,POR,6,0,20,1,7,.143,0,5,.000,1,2,.500,.143,3,4,.750,1,3,4,0,0,0,0,3,5
T.J. Leaf,2019,PF,21,IND,1,0,10,0,3,.000,0,1,.000,0,2,.000,.000,2,2,1.000,1,2,3,0,0,0,0,0,2
Kawhi Leonard,2019,SF,27,TOR,24,24,939,243,496,.490,55,145,.379,188,351,.536,.545,191,216,.884,54,164,218,94,40,17,74,56,732
Meyers Leonard,2019,C,26,POR,11,2,170,34,65,.523,14,33,.424,20,32,.625,.631,3,9,.333,6,34,40,12,2,1,4,27,85
Jon Leuer,2019,PF,29,DET,1,0,5,1,2,.500,0,0,,1,2,.500,.500,0,1,.000,0,0,0,0,0,0,0,1,2
Caris LeVert,2019,SF,24,BRK,5,2,144,36,73,.493,12,26,.462,24,47,.511,.575,21,29,.724,6,17,23,15,5,2,10,8,105
Damian Lillard,2019,PG,28,POR,16,16,650,138,330,.418,59,158,.373,79,172,.459,.508,95,114,.833,8,68,76,106,27,5,60,40,430
Jeremy Lin,2019,PG,30,TOR,8,0,27,2,9,.222,1,2,.500,1,7,.143,.278,4,4,1.000,0,3,3,4,1,0,5,2,9
Shaun Livingston,2019,PG,33,GSW,22,2,322,34,75,.453,0,2,.000,34,73,.466,.453,21,25,.840,11,20,31,31,10,4,8,35,89
Kevon Looney,2019,C,22,GSW,21,1,432,64,93,.688,0,0,,64,93,.688,.688,21,29,.724,41,53,94,20,12,11,13,50,149
Brook Lopez,2019,C,30,MIL,15,15,438,61,134,.455,22,75,.293,39,59,.661,.537,24,29,.828,12,70,82,21,6,28,10,46,168
Kyle Lowry,2019,PG,32,TOR,24,24,901,122,278,.439,52,145,.359,70,133,.526,.532,65,81,.802,21,96,117,159,31,7,53,96,361
Trey Lyles,2019,PF,23,DEN,3,0,8,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,1,0,1,2,0,0,0,1,0
Thon Maker,2019,PF,21,DET,4,2,69,7,26,.269,0,12,.000,7,14,.500,.269,8,9,.889,4,5,9,4,0,4,3,14,22
Boban Marjanović,2019,C,30,PHI,11,0,105,24,40,.600,0,3,.000,24,37,.649,.600,16,19,.842,13,23,36,11,2,3,14,18,64
Jarell Martin,2019,PF,24,ORL,3,0,18,4,9,.444,2,7,.286,2,2,1.000,.556,0,2,.000,1,1,2,1,0,1,0,1,10
Wesley Matthews,2019,SG,32,IND,4,4,119,9,30,.300,7,21,.333,2,9,.222,.417,3,3,1.000,0,10,10,8,3,1,8,6,28
Patrick McCaw,2019,SG,23,TOR,11,0,48,1,5,.200,1,3,.333,0,2,.000,.300,2,2,1.000,2,1,3,4,2,0,1,4,5
CJ McCollum,2019,SG,27,POR,16,16,635,154,350,.440,46,117,.393,108,233,.464,.506,41,56,.732,14,66,80,59,13,10,30,34,395
T.J. McConnell,2019,PG,26,PHI,9,0,75,12,27,.444,0,0,,12,27,.444,.444,0,0,,1,5,6,11,2,1,1,4,24
Doug McDermott,2019,SF,27,IND,3,0,29,2,10,.200,0,7,.000,2,3,.667,.200,2,4,.500,3,2,5,4,0,1,0,2,6
Alfonzo McKinnie,2019,SF,26,GSW,22,1,235,26,59,.441,10,32,.313,16,27,.593,.525,4,10,.400,17,33,50,4,2,1,6,32,66
Jodie Meeks,2019,SG,31,TOR,14,0,66,9,29,.310,2,13,.154,7,16,.438,.345,2,3,.667,0,9,9,1,4,1,3,7,22
Khris Middleton,2019,SF,27,MIL,15,15,515,84,201,.418,40,92,.435,44,109,.404,.517,46,52,.885,9,86,95,66,9,0,29,44,254
Malcolm Miller,2019,SF,25,TOR,10,0,28,2,8,.250,1,6,.167,1,2,.500,.313,3,4,.750,0,5,5,1,0,1,1,3,8
Patty Mills,2019,PG,30,SAS,7,0,152,14,43,.326,3,22,.136,11,21,.524,.360,6,10,.600,1,14,15,25,7,1,3,9,37
Paul Millsap,2019,PF,33,DEN,14,14,469,73,157,.465,12,38,.316,61,119,.513,.503,47,61,.770,24,70,94,11,12,15,18,48,205
Nikola Mirotić,2019,PF,27,MIL,14,8,298,44,117,.376,22,76,.289,22,41,.537,.470,23,28,.821,17,43,60,10,10,3,14,25,133
Donovan Mitchell,2019,SG,22,UTA,5,5,193,36,112,.321,11,43,.256,25,69,.362,.371,24,33,.727,7,18,25,16,8,1,21,15,107
Greg Monroe,2019,C,28,PHI,10,1,90,16,40,.400,1,4,.250,15,36,.417,.413,7,9,.778,14,17,31,4,5,4,4,11,40
Eric Moreland,2019,PF,27,TOR,8,0,28,1,2,.500,0,0,,1,2,.500,.500,0,0,,1,12,13,3,0,0,0,5,2
Marcus Morris,2019,PF,29,BOS,9,4,254,41,79,.519,18,40,.450,23,39,.590,.633,23,31,.742,12,61,73,11,1,5,7,22,123
Markieff Morris,2019,PF,29,OKC,5,0,59,5,16,.313,2,7,.286,3,9,.333,.375,7,9,.778,4,9,13,5,1,3,2,9,19
Monte Morris,2019,PG,23,DEN,14,0,224,33,86,.384,0,13,.000,33,73,.452,.384,9,13,.692,3,16,19,36,5,1,6,15,75
Donatas Motiejūnas,2019,PF,28,SAS,5,0,19,6,10,.600,0,1,.000,6,9,.667,.600,1,2,.500,3,4,7,2,0,0,0,1,13
Jamal Murray,2019,PG,21,DEN,14,14,508,107,252,.425,28,83,.337,79,169,.467,.480,56,62,.903,19,42,61,66,14,2,22,24,298
Džanan Musa,2019,SG,19,BRK,2,0,15,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,0,0,0,0,2,0,3,4,4
Abdel Nader,2019,SF,25,OKC,3,0,5,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,0,0,1,0,0,2
Shabazz Napier,2019,PG,27,BRK,3,0,28,7,11,.636,3,5,.600,4,6,.667,.773,7,8,.875,2,5,7,11,1,0,0,1,24
Raul Neto,2019,PG,26,UTA,3,0,20,1,6,.167,0,1,.000,1,5,.200,.167,0,0,,0,3,3,1,0,0,0,2,2
Georges Niang,2019,PF,25,UTA,5,0,55,9,22,.409,4,13,.308,5,9,.556,.500,0,0,,0,14,14,5,1,1,2,5,22
Nerlens Noel,2019,C,24,OKC,5,0,60,12,20,.600,0,0,,12,20,.600,.600,0,2,.000,11,8,19,0,2,3,5,9,24
Royce O'Neale,2019,SF,25,UTA,5,0,137,21,45,.467,8,23,.348,13,22,.591,.556,3,4,.750,2,21,23,8,2,2,10,15,53
Kyle O'Quinn,2019,C,28,IND,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
Semi Ojeleye,2019,PF,24,BOS,6,0,34,4,9,.444,3,5,.600,1,4,.250,.611,2,2,1.000,1,1,2,2,0,0,1,5,13
Zaza Pachulia,2019,C,34,DET,2,0,22,2,6,.333,0,0,,2,6,.333,.333,1,2,.500,1,8,9,0,0,0,1,3,5
Chris Paul,2019,PG,33,HOU,11,11,397,66,148,.446,17,63,.270,49,85,.576,.503,38,45,.844,14,56,70,60,24,7,37,36,187
Theo Pinson,2019,SG,23,BRK,3,0,22,3,8,.375,3,7,.429,0,1,.000,.563,0,0,,0,3,3,3,2,0,1,0,9
Mason Plumlee,2019,C,28,DEN,14,0,218,24,47,.511,0,1,.000,24,46,.522,.511,16,28,.571,26,36,62,21,7,10,8,39,64
Jakob Poeltl,2019,C,23,SAS,7,7,177,23,36,.639,0,1,.000,23,35,.657,.639,5,9,.556,25,29,54,12,2,5,3,26,51
Quincy Pondexter,2019,SF,30,SAS,5,0,12,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,1,1,2,1,0,0,2,0
Norman Powell,2019,SG,25,TOR,23,0,366,56,126,.444,24,62,.387,32,64,.500,.540,14,19,.737,5,46,51,26,9,0,12,31,150
J.J. Redick,2019,SG,34,PHI,12,12,376,54,124,.435,36,87,.414,18,37,.486,.581,17,20,.850,1,16,17,19,1,3,22,32,161
Austin Rivers,2019,SG,26,HOU,10,0,215,27,62,.435,16,35,.457,11,27,.407,.565,4,6,.667,2,19,21,10,5,1,8,31,74
Glenn Robinson III,2019,SF,25,DET,3,0,36,4,15,.267,1,8,.125,3,7,.429,.300,4,4,1.000,2,5,7,2,2,0,1,5,13
Jerome Robinson,2019,SG,21,LAC,5,0,46,5,14,.357,3,6,.500,2,8,.250,.464,5,5,1.000,2,4,6,7,2,0,1,4,18
Terrence Ross,2019,SG,27,ORL,5,0,146,20,54,.370,12,35,.343,8,19,.421,.481,14,17,.824,1,17,18,7,6,2,10,10,66
Terry Rozier,2019,PG,24,BOS,9,0,162,19,59,.322,8,34,.235,11,25,.440,.390,12,16,.750,4,35,39,17,4,2,10,15,58
Ricky Rubio,2019,PG,28,UTA,5,5,168,28,66,.424,4,20,.200,24,46,.522,.455,17,20,.850,3,13,16,43,12,1,15,14,77
D'Angelo Russell,2019,PG,22,BRK,5,5,148,37,103,.359,12,37,.324,25,66,.379,.417,11,13,.846,2,16,18,18,7,1,14,12,97
Domantas Sabonis,2019,C,22,IND,4,0,96,12,29,.414,1,4,.250,11,25,.440,.431,9,14,.643,7,22,29,16,3,1,5,12,34
Dennis Schröder,2019,PG,25,OKC,5,0,151,25,55,.455,6,20,.300,19,35,.543,.509,13,18,.722,2,14,16,17,4,0,6,11,69
Mike Scott,2019,PF,30,PHI,10,0,193,21,47,.447,12,34,.353,9,13,.692,.574,2,2,1.000,4,30,34,5,3,0,7,22,56
Thabo Sefolosha,2019,SF,34,UTA,4,0,42,2,14,.143,1,8,.125,1,6,.167,.179,0,0,,1,7,8,2,0,0,1,3,5
Landry Shamet,2019,SG,21,LAC,6,6,174,13,38,.342,10,31,.323,3,7,.429,.474,10,10,1.000,1,11,12,10,6,0,7,15,46
Iman Shumpert,2019,SG,28,HOU,8,0,109,10,26,.385,8,22,.364,2,4,.500,.538,1,4,.250,1,11,12,2,1,0,3,10,29
Pascal Siakam,2019,PF,24,TOR,24,24,891,180,383,.470,29,104,.279,151,279,.541,.508,66,87,.759,40,131,171,66,25,17,33,67,455
Ben Simmons,2019,PG,22,PHI,12,12,421,72,116,.621,0,0,,72,116,.621,.621,23,40,.575,24,61,85,72,15,12,32,45,167
Jonathon Simmons,2019,SF,29,PHI,7,0,52,10,30,.333,2,10,.200,8,20,.400,.367,3,4,.750,2,7,9,2,1,0,6,2,25
Anfernee Simons,2019,SG,19,POR,5,0,12,0,7,.000,0,2,.000,0,5,.000,.000,4,5,.800,0,0,0,0,1,0,0,2,4
Marcus Smart,2019,SG,24,BOS,2,0,32,1,11,.091,1,11,.091,0,0,,.136,4,6,.667,4,0,4,4,3,0,3,3,7
Ish Smith,2019,PG,30,DET,4,0,81,10,38,.263,1,7,.143,9,31,.290,.276,3,4,.750,1,10,11,14,3,1,4,8,24
Zhaire Smith,2019,SG,19,PHI,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,0,0
Tony Snell,2019,SF,27,MIL,9,0,28,2,6,.333,1,2,.500,1,4,.250,.417,0,0,,1,1,2,0,1,1,0,3,5
Edmond Sumner,2019,PG,23,IND,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,0,0
Jayson Tatum,2019,SF,20,BOS,9,9,295,49,112,.438,10,31,.323,39,81,.481,.482,29,39,.744,7,53,60,17,10,7,18,21,137
Garrett Temple,2019,SG,32,LAC,6,0,63,3,11,.273,1,7,.143,2,4,.500,.318,7,10,.700,1,6,7,2,3,1,2,8,14
Daniel Theis,2019,C,26,BOS,7,0,42,5,14,.357,0,2,.000,5,12,.417,.357,2,2,1.000,4,6,10,0,1,1,1,4,12
Khyri Thomas,2019,SG,22,DET,3,0,15,6,12,.500,1,4,.250,5,8,.625,.542,1,1,1.000,0,2,2,0,2,0,0,0,14
Klay Thompson,2019,SG,28,GSW,21,21,818,164,360,.456,70,158,.443,94,202,.465,.553,37,41,.902,12,74,86,44,28,15,38,59,435
Sindarius Thornwell,2019,SG,24,LAC,4,0,12,2,6,.333,1,3,.333,1,3,.333,.417,0,0,,0,4,4,0,1,0,0,2,5
P.J. Tucker,2019,PF,33,HOU,11,11,426,40,88,.455,26,57,.456,14,31,.452,.602,19,23,.826,19,63,82,19,19,8,8,35,125
Evan Turner,2019,PG,30,POR,16,0,245,15,46,.326,1,1,1.000,14,45,.311,.337,12,15,.800,13,60,73,35,3,3,13,22,43
Myles Turner,2019,C,22,IND,4,4,126,14,35,.400,3,14,.214,11,21,.524,.443,8,13,.615,4,21,25,6,0,7,3,14,39
Ekpe Udoh,2019,C,31,UTA,2,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
Jarred Vanderbilt,2019,PF,19,DEN,3,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,1,0,0,0
Fred VanVleet,2019,PG,24,TOR,24,0,592,65,166,.392,38,98,.388,27,68,.397,.506,24,31,.774,8,34,42,62,18,6,21,49,192
Nikola Vučević,2019,C,28,ORL,5,5,147,21,58,.362,3,13,.231,18,45,.400,.388,11,14,.786,9,31,40,15,2,5,13,12,56
Lonnie Walker IV,2019,SG,20,SAS,6,0,21,3,8,.375,0,1,.000,3,7,.429,.375,0,0,,0,2,2,3,0,0,0,0,6
Tyrone Wallace,2019,PG,24,LAC,2,0,11,1,4,.250,0,0,,1,4,.250,.250,2,3,.667,0,1,1,3,0,0,1,2,4
Brad Wanamaker,2019,PG,29,BOS,4,0,17,3,7,.429,1,1,1.000,2,6,.333,.500,3,4,.750,0,1,1,3,1,0,2,0,10
Russell Westbrook,2019,PG,30,OKC,5,5,197,40,111,.360,11,34,.324,29,77,.377,.410,23,26,.885,7,37,44,53,5,3,23,19,114
Derrick White,2019,PG,24,SAS,7,7,191,41,75,.547,5,17,.294,36,58,.621,.580,19,26,.731,1,20,21,21,5,5,15,17,106
Lou Williams,2019,SG,32,LAC,6,0,176,45,104,.433,6,18,.333,39,86,.453,.462,34,41,.829,6,11,17,46,5,1,18,14,130
Robert Williams,2019,C,21,BOS,3,0,13,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,1,6,7,0,0,0,0,1,4
D.J. Wilson,2019,PF,22,MIL,8,0,43,8,16,.500,1,5,.200,7,11,.636,.531,2,2,1.000,1,9,10,4,0,1,7,7,19
Guerschon Yabusele,2019,PF,23,BOS,4,0,14,2,4,.500,0,1,.000,2,3,.667,.500,4,7,.571,1,1,2,1,0,1,1,3,8
Thaddeus Young,2019,PF,30,IND,4,4,130,18,42,.429,2,8,.250,16,34,.471,.452,4,7,.571,9,19,28,15,11,3,5,10,42
Ivica Zubac,2019,C,21,LAC,4,3,39,9,18,.500,0,0,,9,18,.500,.500,2,3,.667,11,11,22,1,2,2,4,5,20
Jaylen Adams,2020,PG,23,POR,3,0,21,3,9,.333,0,4,.000,3,5,.600,.333,0,0,,1,2,3,2,1,0,0,1,6
Steven Adams,2020,C,26,OKC,7,7,210,31,52,.596,0,1,.000,31,51,.608,.596,9,20,.450,34,47,81,9,4,2,16,10,71
Bam Adebayo,2020,PF,22,MIA,19,19,687,124,220,.564,0,1,.000,124,219,.566,.564,90,115,.783,47,149,196,84,19,16,47,58,338
Jarrett Allen,2020,C,21,BRK,4,4,132,14,24,.583,0,0,,14,24,.583,.583,13,16,.813,17,42,59,9,2,7,11,7,41
Justin Anderson,2020,SG,26,BRK,3,0,28,5,12,.417,5,11,.455,0,1,.000,.625,4,4,1.000,0,8,8,3,0,1,2,2,19
Giannis Antetokounmpo,2020,PF,25,MIL,9,9,277,90,161,.559,13,40,.325,77,121,.636,.599,47,81,.580,27,97,124,51,6,8,30,31,240
Carmelo Anthony,2020,PF,35,POR,5,5,176,28,68,.412,8,19,.421,20,49,.408,.471,12,14,.857,1,24,25,10,5,2,13,20,76
OG Anunoby,2020,SF,22,TOR,11,11,393,40,88,.455,17,41,.415,23,47,.489,.551,18,28,.643,26,50,76,13,11,13,16,27,115
D.J. Augustin,2020,PG,32,ORL,5,0,128,18,46,.391,8,17,.471,10,29,.345,.478,22,23,.957,0,10,10,30,1,0,12,6,66
J.J. Barea,2020,PG,35,DAL,1,0,5,0,1,.000,0,0,,0,1,.000,.000,3,3,1.000,0,0,0,0,0,0,1,1,3
Keita Bates-Diop,2020,SF,24,DEN,5,0,24,1,5,.200,0,0,,1,5,.200,.200,1,2,.500,3,3,6,1,0,0,0,0,3
Darius Bazley,2020,PF,19,OKC,7,0,126,13,31,.419,11,22,.500,2,9,.222,.597,9,10,.900,2,45,47,6,0,3,6,2,46
Patrick Beverley,2020,PG,31,LAC,8,8,166,20,39,.513,8,22,.364,12,17,.706,.615,2,4,.500,9,24,33,19,8,3,7,31,50
Khem Birch,2020,C,27,ORL,5,0,89,7,14,.500,0,0,,7,14,.500,.500,10,11,.909,9,16,25,7,1,0,5,11,24
Eric Bledsoe,2020,PG,30,MIL,9,9,267,38,98,.388,8,32,.250,30,66,.455,.429,21,26,.808,5,36,41,53,11,6,23,20,105
Bol Bol,2020,PF,20,DEN,4,0,21,5,9,.556,2,3,.667,3,6,.500,.667,7,8,.875,3,2,5,0,2,2,2,1,19
Chris Boucher,2020,C,27,TOR,7,0,43,3,11,.273,2,5,.400,1,6,.167,.364,0,1,.000,3,9,12,1,0,2,1,5,8
Tony Bradley,2020,C,22,UTA,6,0,48,2,9,.222,0,0,,2,9,.222,.222,5,7,.714,10,13,23,1,2,2,4,4,9
Jarrell Brantley,2020,PF,23,UTA,2,0,13,0,5,.000,0,3,.000,0,2,.000,.000,1,2,.500,3,1,4,2,0,1,1,4,1
Malcolm Brogdon,2020,PG,27,IND,4,4,160,26,65,.400,9,24,.375,17,41,.415,.469,25,28,.893,0,17,17,40,4,0,10,10,86
Jaylen Brown,2020,SG,23,BOS,17,17,672,137,288,.476,43,120,.358,94,168,.560,.550,53,63,.841,24,103,127,39,26,9,41,48,370
Sterling Brown,2020,SF,24,MIL,1,0,4,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,0,0
Trey Burke,2020,PG,27,DAL,6,3,156,30,59,.508,8,17,.471,22,42,.524,.576,6,10,.600,2,17,19,12,8,2,6,14,74
Alec Burks,2020,SG,28,PHI,4,0,95,16,49,.327,3,16,.188,13,33,.394,.357,7,9,.778,7,8,15,7,1,3,3,7,42
Deonte Burton,2020,SF,26,OKC,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Jimmy Butler,2020,SF,30,MIA,21,21,806,144,295,.488,15,43,.349,129,252,.512,.514,164,191,.859,46,90,136,127,41,14,59,37,467
Bruno Caboclo,2020,C,24,HOU,2,0,7,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,3,3,0,1,0,0,2,2
Kentavious Caldwell-Pope,2020,SG,26,LAL,21,21,608,79,189,.418,45,119,.378,34,70,.486,.537,22,27,.815,8,36,44,28,21,4,15,40,225
DeMarre Carroll,2020,C,33,HOU,2,0,6,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,3,3,1,0,0,0,1,2
